DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS,Título del vídeo,Impresiones
2024-10-23,0,0,21,2536,1,0,0,0,#CAPITULO_4 🔴 THE TEAM PODCAST🔴 Análisis -- Nuevas Tecnologías #informática #tecnologia,791
2022-12-10,0,0,70,2024,4,0,0,0,Programar es fácil (“ Ironía”),205
2024-10-31,1,0,63,1142,1,0,0,1,No se esperan que pase eso. ¿Cómo Sobreviví a los Hacks en Fortnite? #fortnite  #gameplay,1432
2023-10-18,0,0,16,637,1,0,1,0,Cree en ti mismo como nunca,115
2024-10-22,2,0,116,172411,5,0,0,2,FORNITE 🔴 Jugando con el Mejor jugador de FORTNITE  #fortnite #live #endirecto,3665
,0,0,12,4018,0,0,0,0,🔴 EN VIVO: Jugando Fortnite con suscriptores y  Explorando el nuevo mapa 🚀 ¡Únete y juega!,55
2023-02-26,0,0,6,255,0,0,0,0,Sigue 04endiendo y practicando,99
2023-03-21,1,0,33,173,1,0,0,1,PYTHON DE CERO A DEV,122
2024-01-04,0,0,502,611084,9,0,0,0,Iphone 15 lo mejor del mercado #iphone #apple  @Apple  #tecnologia #informática #samsung #shorts,484
2024-09-22,0,0,117,1206884,4,0,0,0,Apple e iPhone Tienen un Gran Problema: ¿Está en Riesgo Futuro? #apple #iphone  #samsung #xiomi,4014
2024-09-09,0,0,568,2759134,7,0,0,0,COD MODO INVISIBLE #shorts #foryou #fyp  #warzone #juegos,323
2024-11-02,23,0,415,254335,27,0,0,23,#Parte4  100H Estudiando Estructura de datos y Algoritmos. ¿Cuál es la mejor opción para mi carrera?,10721
2024-03-10,11,0,3667,197844,65,0,1,11,No se lo vio venir   #noticias #informática #dinero #viral #youtube #shorts,383
2024-03-04,0,0,39,1371,4,0,0,0,LG Desafiar cualquier realidad  #tecnologia #informática #technology #apple #samsung #shorts,603
2024-10-23,0,0,12,734900,0,0,0,0,#CAPITULO_4 🔴 THE TEAM PODCAST🔴 Análisis -- Nuevas Tecnologías #informática #tecnologia #fyp,2066
2024-03-26,2,0,584,584814,16,0,4,2,Telefono con inteligencia artificial #apple #tecnologia #informática #shorts  #smartphone #android,1485
2024-06-12,2,0,450,1213397,14,0,0,2,APPLE WWDC 2024 intro para las nuevas actualizaciones #apple #tecnologia #informática #wwdc24,1159
2024-03-26,0,0,465,1663741,11,0,2,0,APPLE Y SAMSUNG WWW INTENER #apple #samsung #internet  #tecnologia #informática,633
2024-03-08,3,0,467,285288,10,0,1,3,TIKTOK EN PELIGRO #tiktok #eeuu #viral  #informática #dinero #motivacion #millonarios,375
2024-11-06,3,0,119,-194886,7,0,0,3,#Parte5 100H Estudiando Estructura de datos y Algoritmos. 🔴 Empezamos con Ejercicios,7935
2024-06-13,2,1,1081,1327474,16,0,1,1,"Apple iOS18, nuevas actualizaciones de Iphone #apple #ios18  #tech #wwdc24  #fyp #viral #tecnologia",492
2024-10-28,0,0,12,618,0,0,0,0,El nuevo COD así parece y llama mucho la atención #callofduty #warzone #modernwarefare3,158
2024-03-12,8,0,7646,45004,238,0,2,8,APPLE SE ADAPTA A LA UNION EUROPEA #tecnologia #shorts #informática  #apple #actualidad,1200
2024-03-18,0,0,301,1732,10,0,2,0,SAMSUNS CAMARA DENTRONA AL DE APPLE || Dale Like y síguenos #tecnologia #informática #apple #samsung,323
2024-11-01,1,0,943,2595474,13,0,0,1,Vamos hacer una locura #fortnite #gamer #gaming #humor #fortniteclips #software #reviews #gameplay,75
2024-07-19,1,0,10,1101,1,0,0,1,AI 😀 PROGRAMANDO  👍 AI💪DESDE 0,114
2024-03-15,2,0,451,525617,8,0,0,2,Apple tiene problema en la  presentación #apple #tecnologia #informática #shorts,370
2024-05-09,0,0,17,9915,1,0,0,0,BLACK OPS 6 👍 + WARZONE 💪 | COD |  OFICIALMENTE💯  DE REGRESO 🎮,1424
2024-10-13,3,0,1759,206311,50,0,3,3,Inmortal en Call Of Duty #warzone #callofduty #warzone3,227
2024-03-19,0,0,29,2382,1,0,0,0,APPLE VISION PRO || Dale  Like y comenta   #tecnologia #informática #apple #visionpro  #samsnung,244
2024-11-01,1,1,59,8266,0,0,0,0,Al Final Conseguí hacer lo Imaginable y lo Mejor es que no lo vi Venir #fortnite #fortniteclips,2692
2024-03-19,0,0,18,1065,1,0,0,0,La inteligencia artificial || Dale like y comenta #tecnologia #ai #informática #apple #samsung,260
2024-09-25,0,0,15,4314,1,0,2,0,PLAYSTATION SE JUNTA CON AMD PARA LOS NUEVOS CHIP DE PS6    #playstation5 #foryou #amd #informática,441
